Ticker,Form Type,Filing Date,Document URL,Ownership %,Shares Owned
RGTI,SC 13G/A,2023-02-13,https://www.sec.gov/Archives/edgar/data/0001838359/000093583623000181/rigetti13g.htm,0.0,9
RGTI,SC 13G,2022-03-01,https://www.sec.gov/Archives/edgar/data/0001838359/000093583622000215/snii13g.htm,9.0,9
